Emp_id,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Retirement Target,Monthly Investment,Risk Tolerance
45,28,Female,Bachelor's,Copywriter,2,40000,6800000,6000,Low
46,32,Male,Bachelor's,Account Manager,5,75000,17600000,7000,Medium
47,45,Female,Master's,Director of Marketing,16,180000,10500000,19000,High
48,38,Male,PhD,Senior Scientist,11,120000,16500000,9000,High
49,25,Male,Bachelor's,Help Desk Analyst,0,35000,6700000,7000,Low
50,51,Female,Bachelor's,Customer Service Manager,22,130000,14500000,14000,High
51,33,Male,Master's,Business Intelligence Analyst,7,85000,6000000,12000,Medium
52,40,Female,Bachelor's,Event Coordinator,12,60000,19500000,7000,Low
53,47,Male,Master's,VP of Finance,19,200000,14200000,6000,High
54,29,Female,Bachelor's,Graphic Designer,3,50000,7400000,11000,Low
55,36,Male,Bachelor's,Sales Manager,9,95000,19800000,17000,Medium
56,27,Female,Master's,UX Researcher,2,65000,6300000,14000,Medium
57,43,Male,PhD,Senior Engineer,17,140000,17300000,3000,High
58,30,Female,Bachelor's,Social Media Manager,4,55000,9600000,8000,Low
59,35,Male,Master's,Product Manager,7,105000,18800000,8000,High
60,51,Female,Master's,Director of Operations,23,170000,5300000,12000,High
61,29,Male,Bachelor's,Marketing Analyst,3,50000,8100000,9000,Low
62,40,Female,Bachelor's,HR Manager,12,80000,8400000,17000,Medium
63,47,Male,PhD,Senior Data Scientist,21,180000,11600000,16000,High
64,26,Male,Bachelor's,Junior Accountant,1,35000,6500000,7000,Low
65,38,Female,Master's,Digital Marketing Manager,10,90000,17200000,5000,Medium
66,46,Male,Bachelor's,IT Manager,19,120000,18000000,1000,High
67,31,Female,Bachelor's,Customer Service Representative,5,45000,10500000,19000,Low
68,34,Male,Master's,Business Development Manager,8,90000,8700000,6000,Medium
69,49,Female,Master's,Senior Financial Analyst,18,150000,11800000,17000,High
70,33,Male,Bachelor's,Web Developer,6,65000,11900000,12000,Medium
71,39,Female,Bachelor's,Recruiter,11,70000,19000000,4000,Medium
72,45,Male,PhD,Research Director,16,190000,14800000,17000,High
73,28,Male,Bachelor's,Technical Support Specialist,2,40000,15200000,19000,Low
74,42,Female,Master's,Creative Director,14,120000,8900000,17000,High
75,37,Male,Bachelor's,Project Manager,10,95000,14500000,10000,Medium
76,50,Female,Bachelor's,Operations Manager,22,160000,18600000,15000,High
77,32,Male,Master's,Senior Software Engineer,6,100000,19200000,5000,High
78,48,Female,Master's,Human Resources Director,20,180000,12500000,14000,High
79,30,Female,Bachelor's,Content Marketing Manager,3,55000,13100000,6000,Low
80,36,Male,Bachelor's,Technical Recruiter,8,70000,6300000,1000,Medium
81,41,Female,Master's,Data Analyst,13,80000,5300000,10000,Medium
82,25,Male,Bachelor's,Sales Representative,0,30000,11500000,9000,Low
83,52,Male,PhD,Chief Technology Officer,24,250000,12500000,3000,High
84,29,Female,Bachelor's,Junior Designer,2,40000,8500000,10000,Low
85,34,Female,Master's,Financial Advisor,10,95000,9500000,14000,Medium
86,27,Male,Bachelor's,Junior Account Manager,2,45000,16000000,12000,Low
87,40,Female,Bachelor's,HR Generalist,15,80000,19800000,10000,Medium
88,46,Male,Master's,Senior Project Manager,21,135000,7700000,12000,High
89,31,Female,Bachelor's,Marketing Coordinator,6,55000,6200000,15000,Low
90,36,Male,PhD,Principal Scientist,11,120000,9700000,13000,High
91,29,Female,Bachelor's,Sales Associate,3,40000,6700000,6000,Low
92,43,Male,Bachelor's,Supply Chain Manager,18,105000,6300000,3000,High
93,52,Female,Master's,Senior Marketing Manager,25,170000,14900000,2000,High
94,33,Male,Bachelor's,Business Analyst,7,75000,7100000,9000,Medium
95,39,Female,Bachelor's,Training Specialist,12,65000,16200000,18000,Medium
96,47,Male,PhD,Research Scientist,22,160000,18700000,11000,High
97,26,Male,Bachelor's,Junior Software Developer,1,35000,8500000,5000,Low
98,38,Female,Master's,Public Relations Manager,10,90000,15400000,7000,Medium
99,45,Male,Bachelor's,Operations Analyst,20,110000,15600000,8000,High
100,31,Female,Bachelor's,Event Coordinator,5,45000,12300000,10000,Low
101,35,Male,Master's,Product Marketing Manager,8,95000,11300000,17000,Medium
102,49,Female,Master's,Senior HR Manager,19,150000,16400000,7000,High
103,33,Male,Bachelor's,Junior Web Developer,5,50000,19900000,19000,Low
104,39,Female,Master's,Senior Project Coordinator,13,80000,12700000,12000,Medium
105,44,Male,PhD,Chief Data Officer,16,220000,11800000,3000,High
106,30,Female,Bachelor's,Digital Content Producer,3,50000,12800000,18000,Low
107,36,Male,Bachelor's,IT Support Specialist,7,60000,11000000,3000,Low
108,41,Female,Master's,Senior Marketing Analyst,14,100000,12600000,19000,High
109,28,Male,Bachelor's,Customer Success Manager,2,40000,15300000,6000,Low
110,42,Female,Master's,Senior Graphic Designer,15,110000,19200000,12000,High
111,37,Male,Bachelor's,Software Project Manager,9,95000,7900000,18000,Medium
112,50,Female,Bachelor's,Supply Chain Analyst,22,130000,6800000,14000,High
113,32,Male,Master's,Senior Business Analyst,6,90000,12700000,18000,Medium
114,23,Female,Bachelor's,Junior Marketing Analyst,0.5,35000,11700000,17000,Low
115,31,Male,Master's,Senior Financial Analyst,6,95000,13800000,16000,Medium
116,40,Female,Bachelor's,Office Manager,15,65000,12900000,4000,Medium
117,48,Male,PhD,Principal Engineer,20,170000,6300000,4000,High
118,29,Female,Bachelor's,Junior HR Generalist,3,45000,13200000,11000,Low
119,35,Male,Master's,Senior Product Manager,10,120000,14800000,16000,High
120,42,Female,Bachelor's,Sales Manager,17,100000,12400000,7000,High
121,53,Male,Master's,Director of Marketing,25,180000,14400000,8000,High
122,33,Female,Bachelor's,Junior Operations Analyst,5,50000,17600000,14000,Low
123,38,Male,Bachelor's,Customer Service Manager,11,80000,16600000,1000,Medium
124,44,Female,PhD,Senior Scientist,16,140000,5100000,19000,High
125,26,Male,Bachelor's,Junior Accountant,2,40000,5900000,19000,Low
126,37,Female,Master's,Senior HR Generalist,9,95000,19100000,13000,Medium
127,45,Male,Bachelor's,Sales Operations Manager,18,110000,12400000,8000,High
128,32,Female,Bachelor's,Marketing Coordinator,4,50000,9300000,4000,Low
129,34,Male,Master's,Senior Software Developer,8,105000,8400000,16000,High
130,50,Female,Master's,Director of Operations,21,160000,16400000,1000,High
131,29,Male,Bachelor's,Junior Web Designer,3,45000,10000000,9000,Low
132,40,Female,Master's,Senior Training Specialist,12,100000,11900000,2000,High
133,47,Male,PhD,Senior Research Scientist,22,160000,15600000,12000,High
134,27,Male,Bachelor's,Junior Sales Representative,1,35000,5800000,8000,Low
135,39,Female,Bachelor's,Administrative Assistant,10,55000,6200000,13000,Low
136,46,Male,Master's,Senior Project Manager,19,140000,10800000,11000,High
137,30,Female,Bachelor's,Junior Marketing Manager,4,50000,6100000,18000,Low
138,36,Male,Bachelor's,Junior Data Analyst,7,60000,9600000,10000,Low
139,43,Female,Master's,Senior Product Marketing Manager,14,120000,12200000,4000,High
140,28,Male,Bachelor's,Junior Business Analyst,2,40000,10700000,17000,Low
141,41,Female,Master's,Senior Marketing Manager,13,110000,14000000,4000,High
142,33,Male,Bachelor's,Junior Software Developer,5,50000,7600000,11000,Low
143,47,Male,Bachelor's,Senior Sales Manager,20,135000,17700000,11000,High
144,25,Female,Master's,Junior Marketing Specialist,1.5,40000,5900000,16000,Low
145,34,Male,Bachelor's,Senior Business Analyst,8,90000,18100000,7000,Medium
146,42,Female,PhD,Senior Data Scientist,16,150000,5300000,15000,High
147,31,Male,Bachelor's,Junior Project Manager,4,60000,14000000,3000,Low
148,38,Female,Bachelor's,Senior Accountant,10,80000,16200000,9000,Medium
149,45,Male,Master's,Director of Sales,19,175000,14500000,16000,High
150,29,Female,Bachelor's,Junior Recruiter,3,45000,16900000,17000,Low
151,36,Male,Master's,Senior Business Development Manager,11,120000,15800000,1000,High
152,43,Female,PhD,Senior Product Designer,18,140000,15400000,14000,High
153,26,Male,Bachelor's,Junior Customer Support Specialist,2,35000,14300000,12000,Low
154,37,Female,Master's,Senior Marketing Analyst,9,95000,5400000,4000,Medium
155,44,Male,Bachelor's,Senior IT Support Specialist,14,110000,13200000,13000,High
156,32,Female,Bachelor's,Junior Financial Analyst,5,50000,19700000,19000,Low
157,33,Male,Master's,Senior Operations Manager,7,115000,16500000,4000,High
158,51,Female,PhD,Director of Human Resources,23,185000,7600000,3000,High
159,28,Male,Bachelor's,Junior Software Engineer,2,40000,18400000,8000,Low
160,39,Female,Bachelor's,Senior Sales Representative,12,90000,12900000,18000,Medium
161,48,Male,Master's,Director of Product Management,21,175000,16900000,7000,High
162,30,Female,Bachelor's,Junior Copywriter,3,45000,17900000,18000,Low
163,35,Male,Bachelor's,Senior Marketing Coordinator,7,80000,14400000,12000,Medium
164,41,Female,Master's,Senior Human Resources Manager,13,120000,8000000,10000,High
165,27,Male,Bachelor's,Junior Business Development Associate,1.5,35000,16100000,8000,Low
166,40,Female,Bachelor's,Senior Account Manager,14,110000,18700000,10000,High
167,46,Male,PhD,Senior Researcher,18,150000,17100000,11000,High
168,31,Female,Bachelor's,Junior HR Coordinator,4,50000,10400000,3000,Low
169,34,Male,Master's,Senior Software Engineer,9,105000,15800000,5000,High
170,50,Female,Master's,Director of Finance,20,180000,12200000,11000,High
171,29,Male,Bachelor's,Junior Marketing Coordinator,2,40000,13000000,19000,Low
172,,,,,,,5700000,17000,
173,43,Male,Bachelor's,Senior Project Manager,16,140000,17100000,3000,High
174,26,Female,Master's,Junior Data Scientist,1.5,45000,14200000,19000,Low
175,35,Male,Bachelor's,Senior Operations Analyst,7,85000,5900000,2000,Medium
176,42,Female,PhD,Senior Marketing Manager,18,140000,12900000,15000,High
177,31,Male,Bachelor's,Junior Accountant,4,50000,5600000,11000,Low
178,38,Female,Bachelor's,Senior Human Resources Coordinator,10,80000,9400000,17000,Medium
179,46,Male,Master's,Director of Operations,20,170000,12200000,16000,High
180,29,Female,Bachelor's,Junior Sales Representative,2,40000,9900000,7000,Low
181,37,Male,Master's,Senior Business Analyst,9,105000,16000000,6000,High
182,44,Female,PhD,Senior UX Designer,15,145000,9900000,7000,High
183,27,Male,Bachelor's,Junior Product Manager,2,40000,16700000,13000,Low
184,36,Female,Bachelor's,Senior Marketing Specialist,8,85000,13400000,11000,Medium
185,43,Male,Bachelor's,Senior IT Project Manager,14,130000,10500000,13000,High
186,33,Female,Master's,Senior Financial Analyst,6,95000,7000000,18000,Medium
187,34,Male,Bachelor's,Senior Quality Assurance Analyst,9,100000,19000000,5000,High
188,50,Female,PhD,Director of Sales and Marketing,22,180000,13300000,19000,High
189,28,Male,Bachelor's,Junior Operations Analyst,1.5,35000,8800000,14000,Low
190,39,Female,Bachelor's,Senior Account Executive,12,95000,9300000,9000,Medium
191,47,Male,Master's,Director of Business Development,19,170000,18700000,13000,High
192,30,Female,Bachelor's,Junior Social Media Manager,3,45000,12000000,7000,Low
193,34,Male,Bachelor's,Senior Product Manager,7,95000,11000000,1000,Medium
194,40,Female,Master's,Senior Human Resources Specialist,13,120000,6600000,19000,High
195,28,Male,Bachelor's,Junior Business Analyst,2,40000,12200000,10000,Low
196,41,Female,Bachelor's,Senior Marketing Coordinator,11,90000,7700000,15000,Medium
197,45,Male,PhD,Senior Data Analyst,17,155000,18200000,3000,High
198,32,Female,Bachelor's,Junior Account Manager,5,55000,16600000,8000,Low
199,35,Male,Master's,Senior Software Developer,9,110000,12800000,12000,High
200,49,Female,Master's,Director of Human Capital,21,180000,19600000,3000,High
201,30,Male,Bachelor's,Junior Advertising Coordinator,3,45000,15700000,18000,Low
202,44,Male,Bachelor's,Senior Sales Manager,16,130000,16500000,7000,High
203,27,Female,Master's,Junior UX Designer,1.5,45000,13700000,16000,Low
204,36,Male,Bachelor's,Senior Accountant,7,90000,11700000,1000,Medium
205,41,Female,PhD,Senior Marketing Director,17,160000,19700000,12000,High
206,31,Male,Bachelor's,Junior HR Generalist,4,50000,8200000,3000,Low
207,39,Female,Bachelor's,Senior Operations Manager,10,120000,6200000,17000,High
208,47,Male,Master's,Director of Finance,20,170000,12400000,17000,High
209,30,Female,Bachelor's,Junior Marketing Coordinator,2,40000,17900000,14000,Low
210,38,Male,Master's,Senior IT Consultant,9,110000,6600000,18000,High
211,45,Female,PhD,Senior Product Designer,15,150000,13200000,14000,High
212,28,Male,Bachelor's,Junior Business Development Associate,2,40000,17700000,17000,Low
213,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,15300000,15000,Medium
214,44,Male,Bachelor's,Senior Software Engineer,14,130000,9300000,6000,High
215,34,Female,Master's,Senior Financial Advisor,6,100000,17700000,14000,High
216,35,Male,Bachelor's,Senior Project Coordinator,9,95000,13700000,16000,Medium
217,50,Female,PhD,Director of Operations,22,180000,8800000,1000,High
218,29,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000,18600000,7000,Low
219,40,Female,Bachelor's,Senior Sales Representative,12,100000,13200000,1000,High
220,48,Male,Master's,Director of Marketing,19,170000,7200000,6000,High
221,31,Female,Bachelor's,Junior Social Media Specialist,3,45000,10300000,12000,Low
222,33,Male,Bachelor's,Senior Product Development Manager,7,100000,11100000,17000,High
223,42,Female,Master's,Senior Human Resources Manager,13,140000,11100000,10000,High
224,28,Male,Bachelor's,Junior Financial Analyst,2,40000,19400000,17000,Low
225,40,Female,Bachelor's,Senior Marketing Manager,11,105000,19500000,5000,High
226,46,Male,PhD,Senior Data Scientist,18,160000,15900000,19000,High
227,33,Female,Bachelor's,Junior Operations Manager,5,70000,18600000,7000,Medium
228,37,Male,Master's,Senior Software Architect,9,120000,15800000,4000,High
229,51,Female,Master's,Director of Human Resources,21,190000,9800000,13000,High
230,30,Male,Bachelor's,Junior Marketing Specialist,3,45000,9700000,7000,Low
231,43,Male,Bachelor's,Senior Project Manager,15,120000,8200000,9000,High
232,27,Female,Master's,Junior Research Scientist,1.5,50000,9400000,8000,Low
233,35,Male,Bachelor's,Senior Operations Analyst,8,85000,13000000,18000,Medium
234,42,Female,PhD,Senior Marketing Manager,13,140000,18600000,13000,High
235,32,Male,Bachelor's,Junior Sales Representative,3,45000,18600000,6000,Low
236,37,Female,Bachelor's,Senior Financial Analyst,9,100000,7200000,7000,High
237,45,Male,Master's,Senior Software Developer,16,140000,16500000,8000,High
238,33,Female,Bachelor's,Junior Operations Analyst,5,70000,11500000,8000,Medium
239,39,Male,Bachelor's,Senior Marketing Specialist,10,120000,13000000,14000,High
240,44,Female,PhD,Senior HR Manager,18,160000,11400000,17000,High
241,29,Male,Bachelor's,Junior Business Analyst,1.5,40000,12400000,16000,Low
242,38,Female,Bachelor's,Senior Product Manager,10,120000,8200000,1000,High
243,46,Male,PhD,Senior Data Analyst,19,150000,5700000,19000,High
244,34,Female,Bachelor's,Junior Marketing Analyst,6,70000,6300000,17000,Medium
245,36,Male,Bachelor's,Senior Operations Manager,8,95000,16300000,12000,Medium
246,49,Female,Master's,Director of Marketing,21,180000,18700000,9000,High
247,31,Male,Bachelor's,Junior Financial Analyst,3,50000,18700000,13000,Low
248,41,Female,Bachelor's,Senior Project Coordinator,11,95000,18100000,8000,Medium
249,47,Male,Master's,Director of Operations,20,170000,13900000,3000,High
250,30,Female,Bachelor's,Junior Marketing Coordinator,2,40000,5300000,5000,Low
251,38,Male,Master's,Senior IT Consultant,9,110000,16000000,2000,High
252,45,Female,PhD,Senior Product Designer,15,150000,9600000,14000,High
253,28,Male,Bachelor's,Junior Business Development Associate,2,40000,10000000,14000,Low
254,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,13700000,13000,Medium
255,44,Male,Bachelor's,Senior Software Engineer,14,130000,7900000,13000,High
256,34,Female,Master's,Senior Financial Advisor,6,100000,16700000,15000,High
257,35,Male,Bachelor's,Senior Project Coordinator,9,95000,12100000,8000,Medium
258,50,Female,PhD,Director of Operations,22,180000,16700000,18000,High
259,29,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000,6000000,19000,Low
260,,,,,,,10800000,12000,
261,37,Female,Bachelor's,Senior Financial Manager,10,120000,17000000,9000,High
262,46,Male,PhD,Senior Data Scientist,18,160000,18100000,14000,High
263,31,Female,Bachelor's,Junior Marketing Coordinator,3,50000,17500000,9000,Low
264,42,Male,Bachelor's,Senior Operations Manager,12,110000,7700000,4000,High
265,29,Female,Bachelor's,Junior Sales Representative,1.5,40000,16700000,3000,Low
266,36,Male,Bachelor's,Senior Marketing Specialist,8,95000,5100000,5000,Medium
267,44,Female,Master's,Senior HR Specialist,15,140000,13600000,13000,High
268,33,Male,Bachelor's,Junior Operations Manager,4,60000,8000000,9000,Low
269,39,Female,Bachelor's,Senior Marketing Coordinator,9,110000,16300000,18000,High
270,45,Male,PhD,Senior Data Engineer,16,150000,9400000,3000,High
271,32,Female,Bachelor's,Junior Marketing Manager,4,60000,9500000,4000,Low
272,37,Male,Bachelor's,Senior Financial Analyst,8,90000,11600000,13000,Medium
273,47,Female,Master's,Director of Marketing,20,180000,5600000,1000,High
274,30,Male,Bachelor's,Junior Business Analyst,2,40000,8400000,9000,Low
275,38,Female,Bachelor's,Senior Project Manager,9,120000,6100000,9000,High
276,46,Male,PhD,Senior Data Analyst,17,160000,11200000,10000,High
277,34,Female,Bachelor's,Junior Financial Analyst,5,70000,19800000,4000,Medium
278,36,Male,Bachelor's,Senior Product Manager,8,95000,11000000,18000,Medium
279,49,Female,Master's,Director of Operations,21,180000,9700000,18000,High
280,31,Male,Bachelor's,Junior Operations Analyst,3,50000,10800000,10000,Low
281,41,Female,Bachelor's,Senior Project Coordinator,11,95000,15800000,8000,Medium
282,47,Male,Master's,Director of Marketing,19,170000,11500000,4000,High
283,29,Female,Bachelor's,Junior Business Development Associate,1.5,35000,10800000,19000,Low
284,35,Male,Bachelor's,Senior Financial Manager,9,100000,6800000,3000,High
285,44,Female,PhD,Senior Product Designer,15,150000,13300000,10000,High
286,33,Male,Bachelor's,Junior Business Analyst,4,60000,7100000,17000,Low
287,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,11600000,6000,Medium
288,44,Male,Bachelor's,Senior Software Engineer,13,130000,6300000,9000,High
289,32,Male,Bachelor's,Junior Product Manager,4,65000,17300000,5000,Medium
290,38,Female,Bachelor's,Senior Business Analyst,10,110000,15200000,3000,High
291,49,Male,PhD,Director of Operations,21,180000,6200000,7000,High
292,29,Female,Bachelor's,Junior Marketing Specialist,2,40000,11700000,1000,Low
293,35,Male,Bachelor's,Senior Business Development Manager,7,90000,8600000,16000,Medium
294,45,Female,Master's,Senior HR Manager,14,140000,11100000,11000,High
295,33,Male,Bachelor's,Junior Financial Analyst,4,60000,16000000,13000,Low
296,40,Female,Bachelor's,Senior Marketing Manager,12,130000,6600000,7000,High
297,44,Male,PhD,Senior Data Scientist,16,160000,12600000,19000,High
298,30,Female,Bachelor's,Junior Operations Coordinator,2,40000,17300000,10000,Low
299,37,Male,Bachelor's,Senior Marketing Analyst,9,100000,14900000,7000,High
300,48,Female,Master's,Director of HR,20,180000,17700000,14000,High
301,31,Male,Bachelor's,Junior Project Manager,3,55000,10100000,6000,Low
302,38,Female,Bachelor's,Senior Operations Coordinator,9,120000,9600000,8000,High
303,45,Male,PhD,Senior Data Engineer,16,150000,18300000,3000,High
304,33,Female,Bachelor's,Junior Marketing Manager,5,70000,13000000,3000,Medium
305,36,Male,Bachelor's,Senior Business Analyst,8,95000,14600000,6000,Medium
306,49,Female,Master's,Director of Marketing,21,180000,7800000,19000,High
307,31,Male,Bachelor's,Junior Operations Analyst,3,50000,6500000,2000,Low
308,42,Female,Bachelor's,Senior Project Manager,12,120000,7500000,4000,High
309,47,Male,Master's,Director of Marketing,19,170000,9300000,19000,High
310,29,Female,Bachelor's,Junior Business Development Associate,1.5,35000,18700000,9000,Low
311,35,Male,Bachelor's,Senior Financial Manager,9,100000,5600000,2000,High
312,44,Female,PhD,Senior Product Designer,15,150000,15700000,11000,High
313,33,Male,Bachelor's,Junior Business Analyst,4,60000,16800000,18000,Low
314,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,17300000,3000,Medium
315,44,Male,Bachelor's,Senior Software Engineer,13,130000,15800000,12000,High
316,34,Female,Master's,Senior Financial Advisor,6,80000,8600000,11000,Medium
317,36,Male,Bachelor's,Senior Marketing Specialist,8,95000,17100000,8000,Medium
318,30,Female,Bachelor's,Junior HR Coordinator,2,40000,12900000,10000,Low
319,37,Male,Bachelor's,Senior Business Development Manager,10,120000,9200000,18000,High
320,45,Female,Master's,Senior Marketing Manager,16,160000,9700000,8000,High
321,32,Male,Bachelor's,Junior Financial Advisor,4,65000,10200000,9000,Medium
322,39,Female,Bachelor's,Senior Project Manager,12,130000,8600000,10000,High
323,47,Male,PhD,Director of Engineering,20,180000,8900000,19000,High
324,29,Female,Bachelor's,Junior Marketing Analyst,2,40000,7800000,10000,Low
325,36,Male,Bachelor's,Senior Operations Manager,9,100000,16900000,13000,High
326,43,Female,PhD,Senior Data Scientist,15,150000,7200000,2000,High
327,32,Male,Bachelor's,Junior Marketing Coordinator,3,55000,8400000,5000,Low
328,38,Female,Bachelor's,Senior Business Analyst,10,110000,10300000,7000,High
329,48,Male,Master's,Director of Marketing,21,180000,16000000,3000,High
330,31,Female,Bachelor's,Junior Business Development Associate,3,50000,12700000,7000,Low
331,40,Male,Bachelor's,Senior Financial Analyst,12,130000,16100000,15000,High
332,45,Female,PhD,Senior UX Designer,16,160000,18800000,6000,High
333,33,Male,Bachelor's,Junior Product Manager,4,60000,18900000,2000,Low
334,36,Female,Bachelor's,Senior Marketing Manager,8,95000,13900000,5000,Medium
335,47,Male,Master's,Director of Operations,19,170000,9700000,16000,High
336,29,Female,Bachelor's,Junior Project Manager,2,40000,6900000,15000,Low
337,34,Male,Bachelor's,Senior Operations Coordinator,7,90000,12100000,4000,Medium
338,44,Female,PhD,Senior Business Analyst,15,150000,7500000,11000,High
339,33,Male,Bachelor's,Junior Marketing Specialist,5,70000,19900000,15000,Medium
340,35,Female,Bachelor's,Senior Financial Manager,8,90000,6100000,11000,Medium
341,43,Male,Master's,Director of Marketing,18,170000,13200000,17000,High
342,31,Female,Bachelor's,Junior Financial Analyst,3,50000,17200000,15000,Low
343,41,Male,Bachelor's,Senior Product Manager,14,150000,5600000,18000,High
344,44,Female,PhD,Senior Data Engineer,16,160000,6700000,8000,High
345,33,Male,Bachelor's,Junior Business Analyst,4,60000,13200000,14000,Low
346,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,19300000,16000,Medium
347,45,Male,Master's,Director of Engineering,19,180000,7200000,10000,High
348,28,Female,Bachelor's,Junior Operations Manager,1,35000,7300000,11000,Low
349,36,Male,Bachelor's,Senior Business Development Manager,8,110000,12200000,13000,High
350,44,Female,PhD,Senior Data Scientist,16,160000,11700000,7000,High
351,31,Male,Bachelor's,Junior Marketing Coordinator,3,55000,12900000,12000,Low
352,38,Female,Bachelor's,Senior Business Analyst,10,110000,6100000,8000,High
353,48,Male,Master's,Director of Marketing,21,180000,8600000,13000,High
354,31,Female,Bachelor's,Junior Business Development Associate,3,50000,11200000,18000,Low
355,40,Male,Bachelor's,Senior Financial Analyst,12,130000,6300000,8000,High
356,45,Female,PhD,Senior UX Designer,16,160000,16800000,5000,High
357,33,Male,Bachelor's,Junior Product Manager,4,60000,13100000,4000,Low
358,36,Female,Bachelor's,Senior Marketing Manager,8,95000,9000000,11000,Medium
359,47,Male,Master's,Director of Operations,19,170000,6300000,16000,High
360,29,Female,Bachelor's,Junior Project Manager,2,40000,17100000,13000,Low
361,34,Male,Bachelor's,Senior Operations Coordinator,7,90000,15700000,10000,Medium
362,44,Female,PhD,Senior Business Analyst,15,150000,9300000,8000,High
363,33,Male,Bachelor's,Junior Marketing Specialist,5,70000,15700000,5000,Medium
364,35,Female,Bachelor's,Senior Financial Manager,8,90000,14000000,18000,Medium
365,43,Male,Master's,Director of Marketing,18,170000,11100000,10000,High
366,31,Female,Bachelor's,Junior Financial Analyst,3,50000,17500000,17000,Low
367,41,Male,Bachelor's,Senior Product Manager,14,150000,10800000,12000,High
368,44,Female,PhD,Senior Data Engineer,16,160000,13700000,19000,High
369,33,Male,Bachelor's,Junior Business Analyst,4,60000,9900000,6000,Low
370,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,11200000,7000,Medium
371,43,Male,Master's,Director of Operations,19,170000,8300000,16000,High
372,29,Female,Bachelor's,Junior Project Manager,2,40000,13400000,1000,Low
373,34,Male,Bachelor's,Senior Operations Coordinator,7,90000,15400000,17000,Medium
374,44,Female,PhD,Senior Business Analyst,15,150000,13600000,5000,High
