Emp_id,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Monthly Investment,Retirement Target,Risk Tolerance
236,37,Female,Bachelor's,Senior Financial Analyst,9,100000,12000,15000000,High
237,45,Male,Master's,Senior Software Developer,16,140000,7000,5000000,High
238,33,Female,Bachelor's,Junior Operations Analyst,5,70000,2000,16000000,Medium
239,39,Male,Bachelor's,Senior Marketing Specialist,10,120000,1000,17000000,High
240,44,Female,PhD,Senior HR Manager,18,160000,14000,15000000,High
241,29,Male,Bachelor's,Junior Business Analyst,1.5,40000,6000,11000000,Low
242,38,Female,Bachelor's,Senior Product Manager,10,120000,2000,12000000,High
243,46,Male,PhD,Senior Data Analyst,19,150000,5000,11000000,High
244,34,Female,Bachelor's,Junior Marketing Analyst,6,70000,1000,6000000,Medium
245,36,Male,Bachelor's,Senior Operations Manager,8,95000,2000,12000000,Medium
246,49,Female,Master's,Director of Marketing,21,180000,11000,10000000,High
247,31,Male,Bachelor's,Junior Financial Analyst,3,50000,13000,15000000,Low
248,41,Female,Bachelor's,Senior Project Coordinator,11,95000,12000,9000000,Medium
249,47,Male,Master's,Director of Operations,20,170000,7000,14000000,High
250,30,Female,Bachelor's,Junior Marketing Coordinator,2,40000,6000,7000000,Low
251,38,Male,Master's,Senior IT Consultant,9,110000,12000,16000000,High
252,45,Female,PhD,Senior Product Designer,15,150000,11000,12000000,High
253,28,Male,Bachelor's,Junior Business Development Associate,2,40000,9000,15000000,Low
254,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,9000,11000000,Medium
255,44,Male,Bachelor's,Senior Software Engineer,14,130000,4000,8000000,High
256,34,Female,Master's,Senior Financial Advisor,6,100000,6000,10000000,High
257,35,Male,Bachelor's,Senior Project Coordinator,9,95000,2000,18000000,Medium
258,50,Female,PhD,Director of Operations,22,180000,4000,9000000,High
259,29,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000,10000,15000000,Low
261,37,Female,Bachelor's,Senior Financial Manager,10,120000,8000,19000000,High
262,46,Male,PhD,Senior Data Scientist,18,160000,5000,15000000,High
263,31,Female,Bachelor's,Junior Marketing Coordinator,3,50000,6000,15000000,Low
264,42,Male,Bachelor's,Senior Operations Manager,12,110000,8000,12000000,High
265,29,Female,Bachelor's,Junior Sales Representative,1.5,40000,2000,15000000,Low
266,36,Male,Bachelor's,Senior Marketing Specialist,8,95000,3000,18000000,Medium
267,44,Female,Master's,Senior HR Specialist,15,140000,9000,7000000,High
268,33,Male,Bachelor's,Junior Operations Manager,4,60000,9000,19000000,Low
269,39,Female,Bachelor's,Senior Marketing Coordinator,9,110000,6000,15000000,High
270,45,Male,PhD,Senior Data Engineer,16,150000,7000,15000000,High
271,32,Female,Bachelor's,Junior Marketing Manager,4,60000,14000,14000000,Low
272,37,Male,Bachelor's,Senior Financial Analyst,8,90000,12000,18000000,Medium
273,47,Female,Master's,Director of Marketing,20,180000,3000,18000000,High
274,30,Male,Bachelor's,Junior Business Analyst,2,40000,12000,6000000,Low
275,38,Female,Bachelor's,Senior Project Manager,9,120000,7000,9000000,High
276,46,Male,PhD,Senior Data Analyst,17,160000,14000,19000000,High
277,34,Female,Bachelor's,Junior Financial Analyst,5,70000,11000,17000000,Medium
278,36,Male,Bachelor's,Senior Product Manager,8,95000,5000,9000000,Medium
279,49,Female,Master's,Director of Operations,21,180000,1000,13000000,High
280,31,Male,Bachelor's,Junior Operations Analyst,3,50000,5000,9000000,Low
281,41,Female,Bachelor's,Senior Project Coordinator,11,95000,8000,10000000,Medium
282,47,Male,Master's,Director of Marketing,19,170000,8000,8000000,High
283,29,Female,Bachelor's,Junior Business Development Associate,1.5,35000,7000,9000000,Low
284,35,Male,Bachelor's,Senior Financial Manager,9,100000,8000,15000000,High
285,44,Female,PhD,Senior Product Designer,15,150000,3000,9000000,High
286,33,Male,Bachelor's,Junior Business Analyst,4,60000,4000,10000000,Low
287,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,1000,7000000,Medium
288,44,Male,Bachelor's,Senior Software Engineer,13,130000,4000,14000000,High
289,32,Male,Bachelor's,Junior Product Manager,4,65000,12000,11000000,Medium
290,38,Female,Bachelor's,Senior Business Analyst,10,110000,6000,5000000,High
291,49,Male,PhD,Director of Operations,21,180000,14000,5000000,High
292,29,Female,Bachelor's,Junior Marketing Specialist,2,40000,7000,15000000,Low
293,35,Male,Bachelor's,Senior Business Development Manager,7,90000,5000,6000000,Medium
294,45,Female,Master's,Senior HR Manager,14,140000,1000,11000000,High
295,33,Male,Bachelor's,Junior Financial Analyst,4,60000,9000,11000000,Low
296,40,Female,Bachelor's,Senior Marketing Manager,12,130000,9000,16000000,High
297,44,Male,PhD,Senior Data Scientist,16,160000,3000,7000000,High
298,30,Female,Bachelor's,Junior Operations Coordinator,2,40000,12000,19000000,Low
299,37,Male,Bachelor's,Senior Marketing Analyst,9,100000,6000,13000000,High
300,48,Female,Master's,Director of HR,20,180000,7000,14000000,High
301,31,Male,Bachelor's,Junior Project Manager,3,55000,6000,17000000,Low
302,38,Female,Bachelor's,Senior Operations Coordinator,9,120000,10000,10000000,High
303,45,Male,PhD,Senior Data Engineer,16,150000,9000,17000000,High
304,33,Female,Bachelor's,Junior Marketing Manager,5,70000,9000,15000000,Medium
305,36,Male,Bachelor's,Senior Business Analyst,8,95000,14000,12000000,Medium
306,49,Female,Master's,Director of Marketing,21,180000,2000,9000000,High
307,31,Male,Bachelor's,Junior Operations Analyst,3,50000,4000,11000000,Low
308,42,Female,Bachelor's,Senior Project Manager,12,120000,5000,11000000,High
309,47,Male,Master's,Director of Marketing,19,170000,9000,16000000,High
310,29,Female,Bachelor's,Junior Business Development Associate,1.5,35000,8000,12000000,Low
311,35,Male,Bachelor's,Senior Financial Manager,9,100000,10000,13000000,High
312,44,Female,PhD,Senior Product Designer,15,150000,12000,12000000,High
313,33,Male,Bachelor's,Junior Business Analyst,4,60000,5000,19000000,Low
314,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,9000,5000000,Medium
315,44,Male,Bachelor's,Senior Software Engineer,13,130000,5000,10000000,High
316,34,Female,Master's,Senior Financial Advisor,6,80000,3000,18000000,Medium
317,36,Male,Bachelor's,Senior Marketing Specialist,8,95000,7000,16000000,Medium
318,30,Female,Bachelor's,Junior HR Coordinator,2,40000,9000,15000000,Low
319,37,Male,Bachelor's,Senior Business Development Manager,10,120000,14000,11000000,High
320,45,Female,Master's,Senior Marketing Manager,16,160000,6000,16000000,High
321,32,Male,Bachelor's,Junior Financial Advisor,4,65000,6000,5000000,Medium
322,39,Female,Bachelor's,Senior Project Manager,12,130000,8000,18000000,High
323,47,Male,PhD,Director of Engineering,20,180000,4000,5000000,High
324,29,Female,Bachelor's,Junior Marketing Analyst,2,40000,4000,19000000,Low
325,36,Male,Bachelor's,Senior Operations Manager,9,100000,9000,14000000,High
326,43,Female,PhD,Senior Data Scientist,15,150000,7000,7000000,High
327,32,Male,Bachelor's,Junior Marketing Coordinator,3,55000,5000,12000000,Low
328,38,Female,Bachelor's,Senior Business Analyst,10,110000,5000,10000000,High
329,48,Male,Master's,Director of Marketing,21,180000,2000,8000000,High
330,31,Female,Bachelor's,Junior Business Development Associate,3,50000,5000,19000000,Low
331,40,Male,Bachelor's,Senior Financial Analyst,12,130000,13000,6000000,High
332,45,Female,PhD,Senior UX Designer,16,160000,7000,14000000,High
333,33,Male,Bachelor's,Junior Product Manager,4,60000,6000,16000000,Low
334,36,Female,Bachelor's,Senior Marketing Manager,8,95000,3000,6000000,Medium
335,47,Male,Master's,Director of Operations,19,170000,1000,8000000,High
336,29,Female,Bachelor's,Junior Project Manager,2,40000,7000,19000000,Low
337,34,Male,Bachelor's,Senior Operations Coordinator,7,90000,1000,12000000,Medium
338,44,Female,PhD,Senior Business Analyst,15,150000,2000,15000000,High
339,33,Male,Bachelor's,Junior Marketing Specialist,5,70000,2000,14000000,Medium
340,35,Female,Bachelor's,Senior Financial Manager,8,90000,5000,19000000,Medium
341,43,Male,Master's,Director of Marketing,18,170000,3000,12000000,High
342,31,Female,Bachelor's,Junior Financial Analyst,3,50000,3000,9000000,Low
343,41,Male,Bachelor's,Senior Product Manager,14,150000,11000,8000000,High
344,44,Female,PhD,Senior Data Engineer,16,160000,11000,10000000,High
345,33,Male,Bachelor's,Junior Business Analyst,4,60000,13000,19000000,Low
346,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,5000,14000000,Medium
347,45,Male,Master's,Director of Engineering,19,180000,8000,19000000,High
348,28,Female,Bachelor's,Junior Operations Manager,1,35000,11000,15000000,Low
349,36,Male,Bachelor's,Senior Business Development Manager,8,110000,5000,9000000,High
350,44,Female,PhD,Senior Data Scientist,16,160000,4000,17000000,High
351,31,Male,Bachelor's,Junior Marketing Coordinator,3,55000,9000,12000000,Low
352,38,Female,Bachelor's,Senior Business Analyst,10,110000,10000,11000000,High
353,48,Male,Master's,Director of Marketing,21,180000,14000,7000000,High
354,31,Female,Bachelor's,Junior Business Development Associate,3,50000,5000,6000000,Low
355,40,Male,Bachelor's,Senior Financial Analyst,12,130000,7000,13000000,High
356,45,Female,PhD,Senior UX Designer,16,160000,10000,15000000,High
357,33,Male,Bachelor's,Junior Product Manager,4,60000,4000,8000000,Low
358,36,Female,Bachelor's,Senior Marketing Manager,8,95000,7000,11000000,Medium
359,47,Male,Master's,Director of Operations,19,170000,11000,17000000,High
360,29,Female,Bachelor's,Junior Project Manager,2,40000,12000,12000000,Low
361,34,Male,Bachelor's,Senior Operations Coordinator,7,90000,1000,15000000,Medium
362,44,Female,PhD,Senior Business Analyst,15,150000,4000,10000000,High
363,33,Male,Bachelor's,Junior Marketing Specialist,5,70000,6000,16000000,Medium
364,35,Female,Bachelor's,Senior Financial Manager,8,90000,4000,8000000,Medium
365,43,Male,Master's,Director of Marketing,18,170000,1000,14000000,High
366,31,Female,Bachelor's,Junior Financial Analyst,3,50000,12000,19000000,Low
367,41,Male,Bachelor's,Senior Product Manager,14,150000,8000,7000000,High
368,44,Female,PhD,Senior Data Engineer,16,160000,13000,15000000,High
369,33,Male,Bachelor's,Junior Business Analyst,4,60000,12000,7000000,Low
370,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,1000,10000000,Medium
371,43,Male,Master's,Director of Operations,19,170000,13000,16000000,High
372,29,Female,Bachelor's,Junior Project Manager,2,40000,11000,15000000,Low
373,34,Male,Bachelor's,Senior Operations Coordinator,7,90000,8000,19000000,Medium
374,44,Female,PhD,Senior Business Analyst,15,150000,6000,9000000,High
375,29,Female,Bachelor's,Junior Project Manager,2,40000,6000,13000000,Low
